row_id,description,latlon,tokens_used
II,"MATHEW BRANCH, 50 acs., Hem
rico Co., 29 Oct. 1696, p. 70. Escheated
from Wm. Jones, dec’d., by inqu","37°30'00.00000""N 77°22'00.00000""W",149
II,"CAPT. WILLIAM. RANDOLPH,
2926 acs., Chas. City Ce. in Weynoake
Par; on Pigeon Sw., on S: side of Jam","37°19'18.00000""N 77°10'12.00000""W",147
II,"WILLIAM RANDOLPH; Gent., of
Henrico Co. in Virginia, for diverse
gcod causes, &c., have freely deliv","[37]°[32]'[20.00000]""N [77]°[25]'[30.00000]""W",401
II,"RALPH WORMLEY, ESQR., Secretary of Virginia; 13,500 acs., K. & Q.
Co., in Pamonky Neck; adj. Page’s
","[37]°[41]'[00.00000]""N [76]°[52]'[00.00000]""W",320
II,"EDWARD JENINGS, ESQR., 570
acs,, K. & Q. Co; on S. side of Mattapony River; at mouth of lower Herrin","[37]°[41]'[00.0000]""N [76]°[52]'[00.0000]""W",234
II,"COL. RICHD. JOHNSON, 3285
acs. K. & Q. Co., in Pomunky Neck;
on both sides of Goodwin Sw., or
Monkew","[37]°[41]'[00.0000]""N [76]°[52]'[00.0000]""W",256
II,"MR. EDWARD THOMAS, 2750
acs., in the freshes of Rappa. Co., now
Essex Co; on S. side, about 2 mi. up","[38]°[00]'[00.00000]""N [77]°[00]'[00.00000]""W",399
II,"JACOB DARDEN, 330 acs., Low.
Par. of Is. of Wight Co., 28 Oct. 1697,
p. 81. Adj. John Macmile’s cor;","36°52'00.00000""N 76°42'00.00000""W",179
II,"ANTHONY LAWSON, GENT.,
1356 acs., Pr. Anne Co., 28 Oct. 1697,
p. 82. Escheated from Thomas Skevengto","36°47'00.00000""N 76°03'00.00000""W",151
II,"JOHN DARDEN, 300 acs., Nanzemond Co., 28 Oct. 1697, p. 82. Escheated from Stephen Darden, dec’d.,
by","36°44'00.00000""N 76°34'00.00000""W",142
II,"JOSEPH DOLLAR, 500 acs., Pr.
Anne Co., 28 Oct. 1697, p. 83. Escheated from Eliza. Rising, dec’d., by","37°09'00.00000""N 76°30'00.00000""W",144
II,"MARY GODDING, late wife of
Robert Godding, dec’d., 100 acs., New
Kent Co., in Blisland Par., 28 Oct.","37°30'00.00000""N 76°58'00.00000""W",157
II,"ALLENSON CLARKE, 400 acs.,
Chas. City Co., 28 Oct. 1697, p. 84.
Escheated from Charles Blanchevile,
","37°20'36.00000""N 77°23'24.00000""W",146
II,"WM. SYKES, of Nansamond Co.,
750 acs., Is. of Wight’ Co., 28 Oct.
1697, p. 84. Escheated from John
G","36°52'00.00000""N 76°42'00.00000""W",149
II,"MR. GAWIN CORBIN, 348 acs.,
Glouster Co., in Petso Par. 28 Oct.
1697, p. 85. Beg. at William Upshaw’","[37]°[25]'[00.0000]""N [76]°[30]'[00.0000]""W",188
II,"ROBERT BOLLING, GENT., 300
acs., Chas. City Co; at head of Walter
Brooks’ 160 acs. purchased of John","[37]°[19]'[00.00000]""N [77]°[04]'[00.00000]""W",225
II,"MR. JAMES COCK, 311 acs., Henrico Co., 28 Oct. 1697, p. 86. Adj.
John Fowler; & Batt. Chandler; nigh","[37]°[27]'[00.0000]""N [77]°[22]'[00.0000]""W",217
II,"JUSTANCE HALL, 215 acs., Chas.
City Co., in Bristoll Par; S. side of
James River; adj. Mr. Robert Bo","[37]°[18]'[00.0000]""N [77]°[22]'[00.0000]""W",176
II,"HUMPHRY MARSHALL, 100 acs.,
Is. of Wight Co., 28 Oct. 1697, p. 88.
Escheated from Anth. Jones, dec’d","[36]°[55]'[00.00000]""N [76]°[42]'[00.00000]""W",150
II,"THOMAS MULFORD, 200 acs., Is.
of Wight Co., 28 Oct. 1697, p. 88.
Escheated from Robert Stephens, dec","[36]°[55]'[00.00000]""N [76]°[42]'[00.00000]""W",147
II,"PHILLIP LIGHTFOOT, GENT.,
867 acs., James City Co., 28 Oct. 1697,
p. 89. Escheated from Thomas Wilke","[37]°[20]'[00.00000]""N [76]°[45]'[00.00000]""W",154
II,"MALACHY THRUSTON, 200 acs.,
Low. Norf. Co., 28 Oct. 1697, p. 90.
Escheated from Henry Pare, by inqui","36°44'00.00000""N 76°14'00.00000""W",137
II,"MR. ROBERT CARY, 61 acs., Glocester Co., in Petsto Par., 28 Oct. 1697,
p. 90. Adj. Mr. William Berna","37°23'45.00000""N 76°31'30.00000""W",156
II,"JOHN STANUP, 86 acs., Yorke Co.,
28 Oct. 1697, p. 91. Escheated from
Rowland Burnnam, by inquistitio","37°16'23.00000""N 76°30'00.00000""W",141
II,"JOHN WOODHOUSE, 133 acs., Pr.
Ann Co; on E. side of Gregory's Cr.,
out of Woodhouse Bay, on the E. s","[36]°[54]'[00.0000]""N [76]°[07]'[00.0000]""W",196
II,"THOMAS BUTT, 820 acs., Norf.
Co; on a br. of the Damms, on NE side
of the Northwest River; 28 Oct. 1","[36]°[36]'[00.0000]""N [76]°[08]'[00.0000]""W",238
II,"MICHAEL WARD, 200 acs., Nansemond Co; 29 Oct. 1697, p. 94. Escheated from Michael Wilcock, dec'd.,
b","[36]°[40]'[00.00000]""N [76]°[30]'[00.00000]""W",146
II,"JOHN MURDAUGH, 500 acs.,
Nansemond Co; 28 Oct, 1697, p. 94.
¥scheated from John Webb, dec’d., by
taq","36°44'00.00000""N 76°34'00.00000""W",137
II,"WILLIAM BALLANCE, 950 acs.,
Norfolk Co; 28 Oct. 1697, p. 94. Oh
SW side of the Northwest River, nigh","36°35'00.00000""N 76°08'00.00000""W",164
II,"ROBERT -HIDE, 50. acs., Yorke Co.,
in Hampton Par., 28 Ort. 1697. p. 96.
Escheated from John Orchard","[37]°[14]'[00.0000]""N [76]°[30]'[00.0000]""W",341
II,"SAMUELL SMITH, 89 acs., Up.-Par.
of Nansemond Co; on the Shelter Point,
mear head of the Knaccles; 2","[36]°[44]'[00.0000]""N [76]°[34]'[00.0000]""W",179
II,"JOHN MACKENNY,: 450 acs.,
Nansemond Co., 28 Oct. 1697, p. 98.
Escheated from Michael Mackenny,
dec'd","36°44'00.00000""N 76°34'00.00000""W",140
II,"WILLIAM ‘WILLETT, 600 acs.,
N'ampton Co;. on old Plantation Cr;
adj... Win. Burditt;; Mr. Edward Lit","[37]°[16]'[15.0000]""N [75]°[56]'[30.0000]""W",269
II,"JOHN BARKER, ‘83. acs., Up. Par.
of Nansamond Co; on the W. br: of
Nansamond River; -adj.. Henry Gra","36°44'00.00000""N 76°41'00.00000""W",171
II,"JOSEPH BEARD, 50 acs., New Kent
Co., 28 Oct. 1697, Pp. 100. Escheated
from Tohn Whale, dec’d., by in","37°32'00.00000""N 77°00'00.00000""W",145
II,"JOHN HAINES, 260 acs., Gloster
Co., in Petsto Par, 28 Oct. 1697. b.
101. Adi. Col. Warner, Wm. Hall,","[37]°[24]'[00.00000]""N [76]°[32]'[00.00000]""W",177
II,"TOHN HERON (Herone), 124 acs.,
Eliz. City Co., 28 Oct. 1697, p. 102.
Adi. Capt. Anthony Armstead, at","[37°02'16.00000""N 76°22'30.00000""W]",161
II,"HUGH CAMBELL, 450 acs., Up.
Par, of Nansamond; in a place called
Sumerton; 28 Oct. 1697, p. 103. Beg","[36]°[36]'[00.00000]""N [76]°[42]'[00.00000]""W",208
II,"WM. KING, 260 acs., Up. Par. of
Nensamond Co; on NW side of the
fack of Sumerton Sw; cor. of land in","[36]°[36]'[00.0000]""N [76]°[42]'[00.0000]""W",200
II,"JOHN MURDAUGH, _ 150 acs.,
(Nansamond Co.) at head of Duplin
Island Cr., a br. of Nansamond River;
a","[36]°[46]'[00.00000]""N [76]°[34]'[00.00000]""W",197
II,"JOHN MACKMILL (Mackmiell),
200 acs., Low. Par, of Is. of Wight Co;
adj. Wm. Joyner; & Capt. Applewai","36°58'00.00000""N 76°42'00.00000""W",166
II,"JOSEPH . WHORRELL; 100 acs.,
Nansemond Co; adj. Old Battle’s line;
& land of Mr. Hinton; 28 Oct, 169","36°44'00.00000""N 76°34'00.00000""W",165
II,"CAPT...FRANCIS EPS (Epes), 68
acs., Henrico Co; N. side of James
River; on head of Long Feald-\and;
","[37]°[22]'[00.00000]""N [77]°[24]'[00.00000]""W",182
II,"JOHN SAXON, 460 acs., New Kent
Co;.W. side of the N. br. of Pamunkey
River; adj. land, now or late, ","[37]°[41]'[00.00000]""N [77]°[00]'[00.00000]""W",175
II,"JOSEPH” COLEMAN, 344 acs., Glocester Co, in Petsto Par.,°28 Oct, 1697,
p. 107. Adj. Wm. Prichetrt; W","37°23'00.00000""N 76°31'00.00000""W",149
II,"EDMUND BAYMAN, 100 acs., Up.
Par. of Nansamond Co; on head of the
Skitoes land, on E. side of Nansam","36°44'00.00000""N 76°34'00.00000""W",190
II,"ISAAC JACKSON, 37° acs., Essex
Co; S. side-of Rappa. River, 28 Oct.
1697, p. 108. Adj. William Harpe","38°00'00.00000""N 77°00'00.00000""W",180
II,"JAMES JACKSON, ‘120 acs., Norf.
Co; §S. side of “Tanner's Cr.,° 28 Oct.
1697, p. 108. Adj. his own: ","36°51'00.00000""N 76°15'00.00000""W",171
II,"WM. ROOKINS, 400 acs., Surry Co.,
on Upper Chipoaks Cr., 28 Oct. 1697,
p. 109. Adj. Wm. Agberow, & h","37°12'00.00000""N 76°54'00.00000""W",219
II,"ROBERT COLEMAN, 450 acs., Up.
Par. of Nansamond Co., near Wickham
Swamp, 28 Oct. 1697, p. 109. Adj.
","36°44'00.00000""N 76°40'00.00000""W",189
II,"THOMAS BOYLE, 129 acs., Up, Par.
of Nansamond Co; S. side of the-back
Sw. of Sumerton; 28 Oct. 1697,","36°36'00.00000""N 76°42'00.00000""W",165
II,"JONATHAN FISHER, 80 acs.,
known as Rouges Island, in Essex Co.,
in Pescatoway Cr., 28 Oct. 1697, p.
","[38]°[01]'[00.00000]""N [77]°[00]'[00.00000]""W",150
